翡翠台,TVb翡翠台,tvb翡翠台,TVB翡翠台
明珠台,TVb明珠台,tvb明珠台,TVB明珠台,TVB Pearl
北京卫视,北京卫视4K,北京卫视4K超高清
凤凰中文,凤凰卫视中文台
凤凰香港,凤凰卫视香港台
福建文体,福建体育
福建经济,福建经视
厦门1,厦门一套
厦门2,厦门二套
厦门3,厦门三套
福建公共,福建乡村振兴
FZTV1,FZTV-1,福州综合,福州1-新闻
FZTV3,FZTV-3,福州生活,福州3-生活
CCTV-1,CCTV1
CCTV-2,CCTV2
CCTV-3,CCTV3
CCTV-4,CCTV4
CCTV-5,CCTV5
CCTV-5+,CCTV5+
CCTV-6,CCTV6
CCTV-7,CCTV7
CCTV-8,CCTV8
CCTV-9,CCTV9
CCTV-10,CCTV10
CCTV-11,CCTV11
CCTV-12,CCTV12
CCTV-13,CCTV13
CCTV-14,CCTV14
CCTV-15,CCTV15
CCTV-16,CCTV16
CCTV16-4K,CCTV16
CCTV-17,CCTV17
CCTV4K,CCTV-4K
CCTV8K,CCTV-8K
